num,year,sikibetu1,sikibetu2,
179,1927,179s,179n,
224,1927,224s,224s,
285,1927,285s,285n,
364,1927,364s,364n,
411,1927,411s,411n,
562,1927,562se,562se,
729,1927,729s,729sw,
32,1928,32w,32e,
91,1928,91se,91ne,
94,1928,94sw,94ne,
170,1928,170s,170n,
177,1928,177nw,177se,
179,1928,179s,179n,
224,1928,224s,224s,
285,1928,285s,285n,
364,1928,364s,364n,
411,1928,411s,411n,
460,1928,460w,460e,
562,1928,562se,562se,
729,1928,729s,729sw,
32,1929,32w,32e,
91,1929,91se,91ne,
94,1929,94sw,94ne,
170,1929,170s,170n,
177,1929,177nw,177se,
179,1929,179s,179n,
224,1929,224s,224s,
285,1929,285s,285n,
364,1929,364s,364n,
411,1929,411s,411n,
460,1929,460w,460e,
562,1929,562se,562se,
729,1929,729s,729sw,
32,1930,32w,32e,
34,1930,34se,34ne,
91,1930,91se,91ne,
94,1930,94sw,94ne,
117,1930,117sw,117ne,
170,1930,170s,170n,
177,1930,177nw,177se,
179,1930,179s,179n,
224,1930,224s,224s,
285,1930,285s,285n,
364,1930,364s,364n,
411,1930,411s,411n,
460,1930,460w,460e,
547,1930,547e,547w,
562,1930,562se,562se,
729,1930,729s,729sw,
32,1931,32w,32e,
34,1931,34se,34ne,
91,1931,91se,91ne,
94,1931,94sw,94ne,
117,1931,117sw,117ne,
170,1931,170s,170n,
177,1931,177nw,177se,
179,1931,179s,179n,
224,1931,224s,224s,
285,1931,285s,285n,
364,1931,364s,364n,
411,1931,411s,411n,
460,1931,460w,460e,
547,1931,547e,547w,
562,1931,562se,562se,
729,1931,729s,729sw,
32,1932,32w,32e,
34,1932,34se,34ne,
91,1932,91se,91ne,
117,1932,117sw,117ne,
170,1932,170s,170n,
177,1932,177nw,177se,
179,1932,179s,179n,
224,1932,224s,224s,
285,1932,285s,285n,
364,1932,364s,364n,
411,1932,411s,411n,
460,1932,460w,460e,
547,1932,547e,547w,
562,1932,562se,562se,
729,1932,729s,729sw,
32,1933,32w,32e,
34,1933,34se,34ne,
91,1933,91se,91ne,
117,1933,117sw,117ne,
170,1933,170s,170n,
177,1933,177nw,177se,
179,1933,179s,179n,
224,1933,224s,224s,
285,1933,285s,285n,
364,1933,364s,364n,
411,1933,411s,411n,
460,1933,460w,460e,
533,1933,533s,533n,
547,1933,547e,547w,
562,1933,562se,562se,
729,1933,729s,729sw,
32,1934,32w,32e,
34,1934,34se,34ne,
91,1934,91se,91ne,
117,1934,117sw,117ne,
170,1934,170s,170n,
177,1934,177nw,177se,
179,1934,179s,179n,
224,1934,224s,224s,
285,1934,285s,285n,
364,1934,364s,364n,
411,1934,411s,411n,
460,1934,460w,460e,
533,1934,533s,533n,
547,1934,547e,547w,
562,1934,562se,562se,
729,1934,729s,729sw,
32,1935,32w,32e,
34,1935,34se,34ne,
91,1935,91se,91ne,
117,1935,117sw,117ne,
135,1935,135nw,135se,
177,1935,177nw,177se,
179,1935,179s,179n,
224,1935,224s,224s,
285,1935,285s,285n,
364,1935,364s,364n,
411,1935,411s,411n,
460,1935,460w,460e,
533,1935,533s,533n,
547,1935,547e,547w,
562,1935,562se,562se,
729,1935,729s,729sw,
32,1936,32w,32e,
34,1936,34se,34ne,
91,1936,91se,91ne,
117,1936,117sw,117ne,
135,1936,135nw,135se,
177,1936,177nw,177se,
179,1936,179s,179n,
224,1936,224s,224s,
285,1936,285s,285n,
364,1936,364s,364n,
411,1936,411s,411n,
460,1936,460w,460e,
533,1936,533s,533n,
547,1936,547e,547w,
562,1936,562se,562se,
729,1936,729s,729sw,
32,1937,32w,32e,
34,1937,34se,34ne,
91,1937,91se,91ne,
117,1937,117sw,117ne,
135,1937,135nw,135se,
177,1937,177nw,177se,
179,1937,179s,179n,
224,1937,224s,224s,
285,1937,285s,285n,
364,1937,364s,364n,
411,1937,411s,411n,
460,1937,460w,460e,
533,1937,533s,533n,
547,1937,547e,547w,
562,1937,562se,562se,
729,1937,729s,729sw,
32,1938,32w,32e,
34,1938,34se,34ne,
91,1938,91se,91ne,
117,1938,117sw,117ne,
135,1938,135nw,135se,
177,1938,177nw,177se,
179,1938,179s,179n,
224,1938,224s,224s,
285,1938,285s,285n,
364,1938,364s,364n,
411,1938,411s,411n,
460,1938,460w,460e,
533,1938,533s,533n,
547,1938,547e,547w,
562,1938,562se,562se,
729,1938,729s,729sw,
32,1939,32w,32e,
34,1939,34se,34ne,
91,1939,91se,91ne,
117,1939,117sw,117ne,
135,1939,135nw,135se,
177,1939,177nw,177se,
179,1939,179s,179n,
224,1939,224s,224s,
285,1939,285s,285n,
364,1939,364s,364n,
411,1939,411s,411n,
460,1939,460w,460e,
533,1939,533s,533n,
547,1939,547e,547w,
562,1939,562se,562se,
729,1939,729s,729sw,
826,1939,826s,826n,
32,1940,32w,32e,
34,1940,34se,34ne,
91,1940,91se,91ne,
117,1940,117sw,117ne,
135,1940,135nw,135se,
177,1940,177nw,177se,
179,1940,179s,179n,
224,1940,224s,224s,
285,1940,285s,285n,
364,1940,364s,364n,
411,1940,411s,411n,
460,1940,460w,460e,
533,1940,533s,533n,
547,1940,547e,547w,
562,1940,562se,562se,
729,1940,729s,729sw,
826,1940,826s,826n,
32,1941,32w,32e,
34,1941,34se,34ne,
91,1941,91se,91ne,
117,1941,117sw,117ne,
135,1941,135nw,135se,
177,1941,177nw,177se,
179,1941,179s,179n,
224,1941,224s,224s,
285,1941,285s,285n,
364,1941,364s,364n,
411,1941,411s,411n,
460,1941,460w,460e,
533,1941,533s,533n,
547,1941,547e,547w,
562,1941,562se,562se,37.14
729,1941,729s,729sw,
826,1941,826s,826n,
32,1942,32w,32e,
34,1942,34se,34ne,
91,1942,91se,91ne,
117,1942,117sw,117ne,
135,1942,135nw,135se,
177,1942,177nw,177se,
179,1942,179s,179n,
224,1942,224s,224s,
