num,x,y,spp,dbh01,dbh04,hgt,sprout,sc,Crd1,Crd2,Crd3,Crd4,Crd5,Crd6,Crd7,Crd8,Crd9,crd
233,29.12702846,11.45907783,bp,2.04,2.355493158,4.1,231,24.023716567570112,0.0,17.582947594051838,21.964632333520466,0.0,17.310093742323993,8.026658265627244,4.002876885984645,8.013611632265881,8.697190406173887,85.59801085994795
276,29.14590774,1.93903969,lc,21.19943842,21.58141028,17.4,0,0.0,0.0,0.4720348163304164,0.13385877145751354,14.16969878125809,0.0,20.849567154373776,18.686410389268733,14.084384178673057,10.03212789691401,78.4280819882756
164,29.46541219,45.26291895,lc,12.66873347,12.73239545,11.1,0,0.0,33.18943084254102,0.0,7.453832301182602,28.34579885395705,9.776364847445882,18.271891002663445,31.987017065697515,15.154530191167364,5.6364408026756045,149.81530590733047
235,29.84580491,12.6611632,lc,12.22309963,12.5732405,10.1,0,0.0,0.0,5.011716895860788,14.001394156382641,20.74742789272857,10.081208950563504,1.8826411434177652,8.868627106017836,5.924972693762372,9.102656914031215,75.62064575276469
273,30.12786718,9.257710604,lc,25.81493177,26.76986143,19.9,0,0.0,0.0,31.518721911438877,11.908073862005354,3.5791121513975233,8.209191935890658,20.99259008812666,0.04218664392226582,17.198025198140662,6.437286475987796,99.8851882669098
241,30.57208927,10.47759735,lc,15.46986047,16.20197321,13.1,0,0.0,0.0,34.15340464253262,11.800356903761639,6.357842079767133,14.552730973834038,8.048710707981087,6.33108702731096,7.196507430815396,12.370208804672192,100.81084857067506
260,30.78494336,1.406820663,sb,0.81,0.95,1.2,0,0.0,0.0,14.227090182448682,3.8925880895195344,0.0,22.72160104134107,15.943237171576175,12.240829824469058,14.828429968722016,6.722624705919234,90.57640098399577
256,30.83068679,19.07379167,bp,9.008169779,9.358310654,10.4,257,54.77223219677546,0.0,0.0,0.0,0.0,4.285332909712273,12.974679637122534,8.353556814211112,7.584765566980255,11.019463087949473,44.217798015975646
209,31.05942897,38.44693521,lc,23.90507245,24.03239641,19.7,0,0.0,0.0,12.584920602342036,11.386367095258105,7.455348005362994,5.215073057882092,9.871315038941553,12.217912209661941,7.537747447545594,14.471978594167723,80.74066205116203
257,31.18478528,19.12842207,bp,15.34253651,15.62901541,13.2,257,51.73062845731667,0.0,0.0,0.0,0.0,4.2996210729868585,13.17380747978591,8.521931996903072,7.960180799455609,12.934756573121769,46.89029792225322
259,31.23488817,18.98194381,bp,1.98,2.514648101,4.4,257,160.46789541228517,0.0,0.0,0.0,0.0,4.443989163599769,13.185556315049414,8.64701567426675,11.344248744854678,9.736032830594073,47.35684272836468
258,31.25265238,18.90136561,bp,3.27,3.978873577,5.2,257,108.49938205865158,0.0,0.0,0.0,0.0,4.5260557334860865,13.187447424267276,8.712029185754599,11.424596193309126,9.747599534727676,47.597728071544765
193,31.57032102,49.18675633,bp,10.12225438,10.21774735,13.2,193,1418.8660502328676,0.0,18.731080195899075,1.161986320223625,49.16551960838643,31.548036687536754,16.424873549173643,4.8862858411309364,19.114941154899558,9.585586471153533,150.61830982840357
261,31.65791449,2.799304944,bp,0.28,0.36,0.8,261,0.0,7.838214235827969,0.4928507316285039,17.070904587927036,14.113707695273472,10.336687458872605,7.484078349886237,18.928071202700416,10.038182737950827,9.926519506075048,96.22921650614212
194,31.74712285,49.24638642,bp,2.34,2.76929601,4.8,193,6270.858819540142,0.0,21.928960086250747,1.2318881048794756,57.454148920562155,24.105674139415687,16.007391334882225,9.96958708438404,13.77542549896998,9.737399218703763,154.21047438804806
271,31.81286086,7.605912973,lc,8.944507802,9.135493733,6.1,0,0.0,0.0,9.79793816194497,10.940456479406496,28.13474960475784,16.022451224960456,6.486519166350999,11.581611536784784,5.3267042223461,10.226039603240563,98.51646999979219
195,31.86148837,49.31583926,bp,0.8,0.85,2.4,193,5785.1368418482325,17.63925544229994,0.0,1.2785922047195342,58.48085880311333,16.07441513879733,23.725181844925988,10.026368570194924,13.629427440671835,9.837778370979194,150.69187781570207
262,31.90895562,3.610078182,bp,6.652676621,6.620845633,6.9,262,0.0,0.3298972896268531,0.0,19.977955115030248,20.462691164644323,0.0,13.604769221684746,20.21293616654742,3.514922614604647,11.440466071601916,89.54363764374015
244,31.92634466,14.49373892,lc,20.18084678,20.08535382,16.2,0,0.0,0.0,9.42570106211012,16.010839358025546,3.5148305228025514,18.893496851940363,13.581944822354885,8.24567359370185,0.0,7.530232046774302,77.20271825770962
208,32.27705441,39.67592717,lc,21.77239621,22.28169203,16.3,0,0.0,0.0,13.81765405492242,0.0,3.287595401223522,20.01842054570954,5.108626079280149,20.96080367689896,7.926545577450543,7.632761485003563,78.75240682048869
272,32.57454954,8.69069274,lc,12.98704336,12.92338138,12.0,0,0.0,0.0,6.748089761750848,16.042709330295764,23.32102072103354,9.278741673908874,18.547974654751116,5.636603680587053,10.079633721647866,2.133711867651244,91.78848541162631
196,32.73457502,48.88887504,lc,15.40619849,15.59718442,15.9,0,0.0,0.8231346862699807,15.204163498165407,57.7837804861806,4.149363627201011,10.68711747387402,24.070325231898142,8.769741575628444,20.20859656821104,13.486844844810951,155.1830679922396
177,32.86757126,46.06639391,af,4.83831027,4.710986316,0.0,0,0.0,1032.6474443072016,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1153.891916452861
178,32.86757126,46.06639391,af,3.35,4.360845441,6.0,0,0.0,1181.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1302.722943452861
183,32.86757126,46.06639391,af,1.81,2.610141067,0.0,0,0.0,1335.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1456.722943452861
184,32.86757126,46.06639391,af,1.22,2.323662169,3.1,0,0.0,1394.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1515.722943452861
185,32.86757126,46.06639391,af,0.86,1.591549431,0.0,0,0.0,1430.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1551.722943452861
186,32.86757126,46.06639391,af,0.87,2.100845249,2.9,0,0.0,1429.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1550.722943452861
187,32.86757126,46.06639391,af,1.13,2.005352283,2.8,0,0.0,1403.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1524.722943452861
192,32.86757126,46.06639391,af,0.39,0.38,0.0,0,0.0,1477.4784713072015,0.0,17.16125618323263,19.365847611985526,8.2940895541214,17.959208103172056,22.497385356283132,20.744351811179282,15.222333525685336,1598.722943452861
190,32.88759996,46.36567879,af,1.35,2.387324146,3.1,0,0.0,127.08327028786587,1.0622220277584336,25.356262446560212,13.112517468329255,8.73085123173474,18.47262299963614,23.591669297164124,15.674118358785421,12.783035913538297,245.86657003137248
182,33.00432578,46.35570032,af,4.06,4.679155327,5.2,0,0.0,175.39024150243503,1.0968012117200185,25.996109109424584,13.039827797260342,8.609098885766103,18.27952833476448,20.163345235984778,19.221811873703242,15.35341356902308,297.1501775200817
191,33.00432578,46.35570032,af,0.69,0.77,0.0,0,0.0,512.390241502435,1.0968012117200185,25.996109109424584,13.039827797260342,8.609098885766103,18.27952833476448,20.163345235984778,19.221811873703242,15.35341356902308,634.1501775200817
179,33.0975287,46.13206457,af,3.01,3.947042589,0.0,0,0.0,986.4023876941549,1.0105006243219545,25.04166212346621,12.23355917073446,8.183778331123518,9.385823092298228,28.980536143649406,23.385514039847383,15.9905578702911,1110.614319089887
180,33.0975287,46.13206457,af,2.54,3.183098862,4.7,0,0.0,1033.4023876941549,1.0105006243219545,25.04166212346621,12.23355917073446,8.183778331123518,9.385823092298228,28.980536143649406,23.385514039847383,15.9905578702911,1157.6143190898872
181,33.0975287,46.13206457,af,3.51,3.819718634,0.0,0,0.0,936.4023876941549,1.0105006243219545,25.04166212346621,12.23355917073446,8.183778331123518,9.385823092298228,28.980536143649406,23.385514039847383,15.9905578702911,1060.614319089887
188,33.0975287,46.13206457,af,1.99,2.960281942,4.4,0,0.0,1088.4023876941549,1.0105006243219545,25.04166212346621,12.23355917073446,8.183778331123518,9.385823092298228,28.980536143649406,23.385514039847383,15.9905578702911,1212.6143190898872
189,33.0975287,46.13206457,af,0.98,1.44,2.2,0,0.0,1189.4023876941549,1.0105006243219545,25.04166212346621,12.23355917073446,8.183778331123518,9.385823092298228,28.980536143649406,23.385514039847383,15.9905578702911,1313.6143190898872
243,33.52962457,13.22601019,lc,23.71408652,23.7777485,18.7,0,0.0,25.91017838002894,7.338309157245216,9.873559403901556,17.664114685235482,7.672464377569041,14.097848950626677,8.92590611637154,3.0711366976838192,5.802103373188322,100.35562114185058
245,33.77532697,13.8896074,lc,18.33464944,18.33464944,12.6,0,0.0,33.5122966961205,10.374816794344316,15.791856898281152,5.5326376044182295,9.837975368514225,13.260243858964241,9.560168145893371,2.9871785112663916,11.027493687764265,111.88466756556669
197,33.94052762,47.83486708,bp,1.92,2.132676237,2.5,197,0.0,0.0,71.8724980256683,18.122109713976638,0.0,0.0,23.355389268345526,17.53253886013172,16.050064176055944,17.30670340604445,164.2393034502226
242,33.98359458,11.57837442,lc,12.54140952,13.01887434,11.4,0,0.0,0.0,13.875736853015331,7.9008309458303,27.18926962448315,11.386708730537629,12.004463628653136,3.8464525304194916,2.2971578362954537,17.76524368737451,96.265863836609
265,34.03811986,5.032748732,lc,25.178312,24.82817112,20.1,0,0.0,24.633010575751907,22.946393143539147,2.597962223946309,10.699320416225124,0.1662767270477632,15.975939403676005,9.813999009378767,6.806474205957557,18.690346233396856,112.32972193891942
266,34.33780893,5.901257226,lc,22.63183291,22.75915686,16.9,0,0.0,27.40465733562104,0.0,15.646550698217261,13.26144029897317,0.06830499159301097,15.854189290365467,7.810317908584298,14.87036449753548,16.448477728808346,111.36430274969806
