pre1,pre2,kyori
福島県,宮崎県,1049.8
福島県,鹿児島県,1137.6
福島県,沖縄県,1756.4
茨城県,北海道,750.4
茨城県,青森県,498.3
茨城県,岩手県,378.3
茨城県,宮城県,217.2
茨城県,秋田県,376.1
茨城県,山形県,210.9
茨城県,福島県,156.3
茨城県,茨城県,0
茨城県,栃木県,56.3
茨城県,群馬県,124.5
茨城県,埼玉県,89.7
茨城県,千葉県,86.8
茨城県,東京都,99.3
茨城県,神奈川県,122.9
茨城県,新潟県,214.5
茨城県,富山県,292.4
茨城県,石川県,343.6
茨城県,福井県,381.1
茨城県,山梨県,185.3
茨城県,長野県,205.9
茨城県,岐阜県,352.5
茨城県,静岡県,240.5
茨城県,愛知県,345.1
茨城県,三重県,399.3
茨城県,滋賀県,440.2
茨城県,京都府,449.1
茨城県,大阪府,483.1
茨城県,兵庫県,511.3
茨城県,奈良県,457
茨城県,和歌山県,534.4
茨城県,鳥取県,567.9
茨城県,島根県,674.4
茨城県,岡山県,619.3
茨城県,広島県,757
茨城県,山口県,850.6
茨城県,徳島県,592.4
茨城県,香川県,622.9
茨城県,愛媛県,753
茨城県,高知県,702.8
茨城県,福岡県,964.2
茨城県,佐賀県,989.4
茨城県,長崎県,1048.9
茨城県,熊本県,973.2
茨城県,大分県,878.3
茨城県,宮崎県,965.9
茨城県,鹿児島県,1055.9
茨城県,沖縄県,1652
栃木県,北海道,732.3
栃木県,青森県,478.6
栃木県,岩手県,365.6
栃木県,宮城県,208.3
栃木県,秋田県,350.5
栃木県,山形県,190.7
栃木県,福島県,141.3
栃木県,茨城県,56.3
栃木県,栃木県,0
栃木県,群馬県,76.2
栃木県,埼玉県,81.4
栃木県,千葉県,108.8
栃木県,東京都,98.8
栃木県,神奈川県,125.9
栃木県,新潟県,166.8
栃木県,富山県,239.4
栃木県,石川県,291.6
栃木県,福井県,333.5
栃木県,山梨県,155
栃木県,長野県,152.6
栃木県,岐阜県,313.5
栃木県,静岡県,222.5
栃木県,愛知県,309.7
栃木県,三重県,367.2
栃木県,滋賀県,402.2
栃木県,京都府,410.6
栃木県,大阪府,446.9
栃木県,兵庫県,473.8
栃木県,奈良県,422.1
栃木県,和歌山県,500.8
栃木県,鳥取県,522.2
栃木県,島根県,627.6
栃木県,岡山県,578.7
栃木県,広島県,715.2
栃木県,山口県,808.4
栃木県,徳島県,557.8
栃木県,香川県,584.7
栃木県,愛媛県,714.9
栃木県,高知県,668.4
栃木県,福岡県,923
栃木県,佐賀県,949.5
栃木県,長崎県,1010.3
栃木県,熊本県,936.1
栃木県,大分県,840.9
栃木県,宮崎県,934.3
栃木県,鹿児島県,1023.6
栃木県,沖縄県,1629.6
群馬県,北海道,766.3
群馬県,青森県,513.4
群馬県,岩手県,410.9
群馬県,宮城県,263
群馬県,秋田県,380.5
群馬県,山形県,235.5
群馬県,福島県,195.9
群馬県,茨城県,124.5
群馬県,栃木県,76.2
群馬県,群馬県,0
群馬県,埼玉県,79.5
群馬県,千葉県,129.6
群馬県,東京都,96.4
群馬県,神奈川県,117.1
群馬県,新潟県,167.7
群馬県,富山県,169
群馬県,石川県,219.4
群馬県,福井県,257.8
群馬県,山梨県,92.1
群馬県,長野県,83.9
群馬県,岐阜県,238.5
群馬県,静岡県,168.5
群馬県,愛知県,236.6
群馬県,三重県,295.8
群馬県,滋賀県,327.3
群馬県,京都府,335.5
群馬県,大阪府,372.6
群馬県,兵庫県,399
群馬県,奈良県,348.6
群馬県,和歌山県,427.8
群馬県,鳥取県,446.1
群馬県,島根県,551.8
群馬県,岡山県,502.9
群馬県,広島県,639.1
群馬県,山口県,732.2
群馬県,徳島県,484.1
群馬県,香川県,509.5
群馬県,愛媛県,639.5
群馬県,高知県,594.5
群馬県,福岡県,846.9
群馬県,佐賀県,873.6
群馬県,長崎県,934.8
群馬県,熊本県,861
群馬県,大分県,765.7
群馬県,宮崎県,861.5
群馬県,鹿児島県,950.4
群馬県,沖縄県,1562
埼玉県,北海道,813.4
埼玉県,青森県,559.6
埼玉県,岩手県,447
埼玉県,宮城県,288.9
埼玉県,秋田県,430.5
埼玉県,山形県,272.1
埼玉県,福島県,222.4
埼玉県,茨城県,89.7
埼玉県,栃木県,81.4
埼玉県,群馬県,79.5
埼玉県,埼玉県,0
埼玉県,千葉県,51.2
埼玉県,東京都,19
埼玉県,神奈川県,45.4
埼玉県,新潟県,233.7
埼玉県,富山県,237.9
埼玉県,石川県,283.9
埼玉県,福井県,310
埼玉県,山梨県,100
埼玉県,長野県,158.7
埼玉県,岐阜県,270.1
埼玉県,静岡県,150.8
埼玉県,愛知県,259.8
埼玉県,三重県,311.8
埼玉県,滋賀県,356.1
埼玉県,京都府,365.4
埼玉県,大阪府,397.4
埼玉県,兵庫県,426.3
埼玉県,奈良県,370.7
埼玉県,和歌山県,447.1
埼玉県,鳥取県,491.3
埼玉県,島根県,598.8
埼玉県,岡山県,536.5
埼玉県,広島県,674.9
埼玉県,山口県,768.7
埼玉県,徳島県,505.4
埼玉県,香川県,538
埼玉県,愛媛県,667.8
埼玉県,高知県,615.5
埼玉県,福岡県,881.1
埼玉県,佐賀県,905.1
埼玉県,長崎県,963.6
埼玉県,熊本県,887.1
埼玉県,大分県,792.5
埼玉県,宮崎県,877.3
埼玉県,鹿児島県,967.5
埼玉県,沖縄県,1562.4
千葉県,北海道,834.8
千葉県,青森県,581.9
千葉県,岩手県,463.9
千葉県,宮城県,303.1
千葉県,秋田県,456.6
千葉県,山形県,293.3
千葉県,福島県,240
千葉県,茨城県,86.8
千葉県,栃木県,108.8
千葉県,群馬県,129.6
千葉県,埼玉県,51.2
千葉県,千葉県,0
千葉県,東京都,40.2
千葉県,神奈川県,47
千葉県,新潟県,273.2
千葉県,富山県,288.6
千葉県,石川県,333.5
千葉県,福井県,356.2
千葉県,山梨県,141
千葉県,長野県,209.9
千葉県,岐阜県,309.5
千葉県,静岡県,172.9
千葉県,愛知県,296
千葉県,三重県,343.3
千葉県,滋賀県,392.6
千葉県,京都府,402.4
千葉県,大阪府,431.6
千葉県,兵庫県,461.4
千葉県,奈良県,404
千葉県,和歌山県,477.9
千葉県,鳥取県,533.6
千葉県,島根県,641.4
千葉県,岡山県,573.5
千葉県,広島県,712.1
千葉県,山口県,806
千葉県,徳島県,536.7
千葉県,香川県,572.6
千葉県,愛媛県,701.5
千葉県,高知県,645.8
千葉県,福岡県,917
千葉県,佐賀県,939.6
千葉県,長崎県,996.6
千葉県,熊本県,918.9
千葉県,大分県,824.9
千葉県,宮崎県,903.6
千葉県,鹿児島県,994.2
千葉県,沖縄県,1578.3
東京都,北海道,831
東京都,青森県,577.3
東京都,岩手県,463.8
東京都,宮城県,304.9
東京都,秋田県,448.7
東京都,山形県,289.4
東京都,福島県,238.9
東京都,茨城県,99.3
東京都,栃木県,98.8
東京都,群馬県,96.4
東京都,埼玉県,19
東京都,千葉県,40.2
東京都,東京都,0
東京都,神奈川県,27.2
東京都,新潟県,252.7
東京都,富山県,249.4
東京都,石川県,293.6
東京都,福井県,316.1
東京都,山梨県,101.7
東京都,長野県,172.8
東京都,岐阜県,271.3
東京都,静岡県,142.8
東京都,愛知県,259.1
東京都,三重県,308.7
東京都,滋賀県,355.7
東京都,京都府,365.3
東京都,大阪府,395.9
東京都,兵庫県,425.2
東京都,奈良県,368.7
東京都,和歌山県,443.9
東京都,鳥取県,494.6
東京都,島根県,602.3
東京都,岡山県,536.6
東京都,広島県,675.1
東京都,山口県,769
東京都,徳島県,502.5
東京都,香川県,536.7
東京都,愛媛県,666.1
東京都,高知県,612.2
東京都,福岡県,880.6
東京都,佐賀県,904
東京都,長崎県,961.7
東京都,熊本県,884.6
東京都,大分県,790.2
東京都,宮崎県,872.3
東京都,鹿児島県,962.7
東京都,沖縄県,1553.6
神奈川県,北海道,858.2
神奈川県,青森県,604.5
神奈川県,岩手県,490.8
神奈川県,宮城県,331.7
神奈川県,秋田県,475.8
神奈川県,山形県,316.5
神奈川県,福島県,265.9
神奈川県,茨城県,122.9
神奈川県,栃木県,125.9
神奈川県,群馬県,117.1
神奈川県,埼玉県,45.4
神奈川県,千葉県,47
神奈川県,東京都,27.2
神奈川県,神奈川県,0
神奈川県,新潟県,277.9
神奈川県,富山県,259.1
神奈川県,石川県,300.2
神奈川県,福井県,316.8
神奈川県,山梨県,100.3
神奈川県,長野県,187.5
神奈川県,岐阜県,265.3
神奈川県,静岡県,126
神奈川県,愛知県,250.5
神奈川県,三重県,296.6
神奈川県,滋賀県,347.1
神奈川県,京都府,356.9
神奈川県,大阪府,385.4
神奈川県,兵庫県,415.3
神奈川県,奈良県,357.6
神奈川県,和歌山県,431.1
神奈川県,鳥取県,490.4
神奈川県,島根県,598.3
神奈川県,岡山県,527.9
神奈川県,広島県,666.5
神奈川県,山口県,760.3
神奈川県,徳島県,489.9
神奈川県,香川県,526.3
神奈川県,愛媛県,655
神奈川県,高知県,598.9
神奈川県,福岡県,870.8
神奈川県,佐賀県,893.2
神奈川県,長崎県,949.9
神奈川県,熊本県,872.1
神奈川県,大分県,778.2
神奈川県,宮崎県,856.7
神奈川県,鹿児島県,947.3
神奈川県,沖縄県,1533.2
新潟県,北海道,606
新潟県,青森県,356.5
新潟県,岩手県,272.4
新潟県,宮城県,167.2
新潟県,秋田県,222.3
新潟県,山形県,123.4
新潟県,福島県,128.3
新潟県,茨城県,214.5
新潟県,栃木県,166.8
新潟県,群馬県,167.7
新潟県,埼玉県,233.7
新潟県,千葉県,273.2
新潟県,東京都,252.7
新潟県,神奈川県,277.9
新潟県,新潟県,0
新潟県,富山県,209.2
新潟県,石川県,257.5
新潟県,福井県,322.1
新潟県,山梨県,251.7
新潟県,長野県,157.7
新潟県,岐阜県,346.4
新潟県,静岡県,329.6
新潟県,愛知県,356.6
新潟県,三重県,418.2
新潟県,滋賀県,428.2
新潟県,京都府,433.5
新潟県,大阪府,475.7
新潟県,兵庫県,495.8
新潟県,奈良県,457.7
新潟県,和歌山県,535.7
新潟県,鳥取県,503.6
新潟県,島根県,597.9
新潟県,岡山県,581.5
新潟県,広島県,707
新潟県,山口県,795.3
新潟県,徳島県,585.7
新潟県,香川県,597.5
新潟県,愛媛県,722.4
新潟県,高知県,691.9
新潟県,福岡県,912.1
新潟県,佐賀県,943.7
新潟県,長崎県,1009.1
新潟県,熊本県,941.9
新潟県,大分県,847.5
新潟県,宮崎県,960.6
新潟県,鹿児島県,1046.1
新潟県,沖縄県,1678.6
富山県,北海道,790.4
富山県,青森県,551.4
富山県,岩手県,480.2
富山県,宮城県,367.8
富山県,秋田県,420.3
富山県,山形県,327.3
富山県,福島県,311.8
富山県,茨城県,292.4
富山県,栃木県,239.4
富山県,群馬県,169
富山県,埼玉県,237.9
富山県,千葉県,288.6
富山県,東京都,249.4
富山県,神奈川県,259.1
富山県,新潟県,209.2
富山県,富山県,0
富山県,石川県,53.6
富山県,福井県,113
富山県,山梨県,167.3
富山県,長野県,86.8
富山県,岐阜県,151.3
富山県,静岡県,218.1
富山県,愛知県,170.3
富山県,三重県,227.1
富山県,滋賀県,223.4
富山県,京都府,227.6
富山県,大阪府,270.4
富山県,兵庫県,288.3
富山県,奈良県,255.5
富山県,和歌山県,330.8
富山県,鳥取県,298.6
富山県,島根県,398.5
富山県,岡山県,372.6
富山県,広島県,500.6
富山県,山口県,590.7
富山県,徳島県,378.3
富山県,香川県,388.4
富山県,愛媛県,513.5
富山県,高知県,483.2
富山県,福岡県,707.3
富山県,佐賀県,737.7
富山県,長崎県,802.1
富山県,熊本県,733.7
富山県,大分県,639
富山県,宮崎県,751.7
富山県,鹿児島県,836.9
富山県,沖縄県,1471.8
