year,origin,destination,gender,migration
2018,静岡県,岩手県,女,87
2018,愛知県,岩手県,総数,377
2018,愛知県,岩手県,男,244
2018,愛知県,岩手県,女,133
2018,三重県,岩手県,総数,83
2018,三重県,岩手県,男,54
2018,三重県,岩手県,女,29
2018,滋賀県,岩手県,総数,31
2018,滋賀県,岩手県,男,14
2018,滋賀県,岩手県,女,17
2018,京都府,岩手県,総数,83
2018,京都府,岩手県,男,48
2018,京都府,岩手県,女,35
2018,大阪府,岩手県,総数,198
2018,大阪府,岩手県,男,124
2018,大阪府,岩手県,女,74
2018,兵庫県,岩手県,総数,99
2018,兵庫県,岩手県,男,64
2018,兵庫県,岩手県,女,35
2018,奈良県,岩手県,総数,15
2018,奈良県,岩手県,男,11
2018,奈良県,岩手県,女,4
2018,和歌山県,岩手県,総数,27
2018,和歌山県,岩手県,男,16
2018,和歌山県,岩手県,女,11
2018,鳥取県,岩手県,総数,19
2018,鳥取県,岩手県,男,11
2018,鳥取県,岩手県,女,8
2018,島根県,岩手県,総数,16
2018,島根県,岩手県,男,12
2018,島根県,岩手県,女,4
2018,岡山県,岩手県,総数,31
2018,岡山県,岩手県,男,21
2018,岡山県,岩手県,女,10
2018,広島県,岩手県,総数,68
2018,広島県,岩手県,男,37
2018,広島県,岩手県,女,31
2018,山口県,岩手県,総数,24
2018,山口県,岩手県,男,11
2018,山口県,岩手県,女,13
2018,徳島県,岩手県,総数,19
2018,徳島県,岩手県,男,12
2018,徳島県,岩手県,女,7
2018,香川県,岩手県,総数,17
2018,香川県,岩手県,男,10
2018,香川県,岩手県,女,7
2018,愛媛県,岩手県,総数,26
2018,愛媛県,岩手県,男,17
2018,愛媛県,岩手県,女,9
2018,高知県,岩手県,総数,13
2018,高知県,岩手県,男,7
2018,高知県,岩手県,女,6
2018,福岡県,岩手県,総数,126
2018,福岡県,岩手県,男,82
2018,福岡県,岩手県,女,44
2018,佐賀県,岩手県,総数,18
2018,佐賀県,岩手県,男,14
2018,佐賀県,岩手県,女,4
2018,長崎県,岩手県,総数,24
2018,長崎県,岩手県,男,15
2018,長崎県,岩手県,女,9
2018,熊本県,岩手県,総数,32
2018,熊本県,岩手県,男,19
2018,熊本県,岩手県,女,13
2018,大分県,岩手県,総数,31
2018,大分県,岩手県,男,18
2018,大分県,岩手県,女,13
2018,宮崎県,岩手県,総数,10
2018,宮崎県,岩手県,男,6
2018,宮崎県,岩手県,女,4
2018,鹿児島県,岩手県,総数,36
2018,鹿児島県,岩手県,男,22
2018,鹿児島県,岩手県,女,14
2018,沖縄県,岩手県,総数,76
2018,沖縄県,岩手県,男,44
2018,沖縄県,岩手県,女,32
2018,北海道,宮城県,総数,2134
2018,北海道,宮城県,男,1261
2018,北海道,宮城県,女,873
2018,青森県,宮城県,総数,3182
2018,青森県,宮城県,男,1680
2018,青森県,宮城県,女,1502
2018,岩手県,宮城県,総数,4982
2018,岩手県,宮城県,男,2547
2018,岩手県,宮城県,女,2435
2018,宮城県,宮城県,総数,0
2018,宮城県,宮城県,男,0
2018,宮城県,宮城県,女,0
2018,秋田県,宮城県,総数,2578
2018,秋田県,宮城県,男,1330
2018,秋田県,宮城県,女,1248
2018,山形県,宮城県,総数,3660
2018,山形県,宮城県,男,1873
2018,山形県,宮城県,女,1787
2018,福島県,宮城県,総数,4988
2018,福島県,宮城県,男,2822
2018,福島県,宮城県,女,2166
2018,茨城県,宮城県,総数,836
2018,茨城県,宮城県,男,503
2018,茨城県,宮城県,女,333
2018,栃木県,宮城県,総数,836
2018,栃木県,宮城県,男,502
2018,栃木県,宮城県,女,334
2018,群馬県,宮城県,総数,401
2018,群馬県,宮城県,男,258
2018,群馬県,宮城県,女,143
2018,埼玉県,宮城県,総数,2744
2018,埼玉県,宮城県,男,1687
2018,埼玉県,宮城県,女,1057
2018,千葉県,宮城県,総数,2012
2018,千葉県,宮城県,男,1236
2018,千葉県,宮城県,女,776
2018,東京都,宮城県,総数,6080
2018,東京都,宮城県,男,3527
2018,東京都,宮城県,女,2553
2018,神奈川県,宮城県,総数,2971
2018,神奈川県,宮城県,男,1804
2018,神奈川県,宮城県,女,1167
2018,新潟県,宮城県,総数,808
2018,新潟県,宮城県,男,504
2018,新潟県,宮城県,女,304
2018,富山県,宮城県,総数,145
2018,富山県,宮城県,男,81
2018,富山県,宮城県,女,64
2018,石川県,宮城県,総数,240
2018,石川県,宮城県,男,150
2018,石川県,宮城県,女,90
2018,福井県,宮城県,総数,58
2018,福井県,宮城県,男,37
2018,福井県,宮城県,女,21
2018,山梨県,宮城県,総数,146
2018,山梨県,宮城県,男,89
